,Month,WeekofMonth,Site,EnteroCountsGreaterThan110,GMeanEnteroCount,MaxYear,MeanRainAmount,MinYear,SampleCount,HistoricallySafe,BestSite
143,5,3,Esopus Creek Entrance,1.0,35.28528733339214,2012,0.6666666666666666,2008,3,False,57
144,5,3,Esopus Creek West,1.0,23.346976148583412,2012,0.6666666666666666,2008,3,False,58
145,5,3,Fort Montgomery,1.0,7.594363318174863,2012,0.8999999999999999,2008,3,False,35
146,5,3,Furnace Brook,1.0,57.83634325081065,2012,0.775,2007,4,False,43
147,5,3,GW Bridge mid-channel,0.0,14.229707211083648,2012,0.925,2008,4,True,9
148,5,3,Gay's Point mid-channel,1.0,8.383622937800956,2012,0.65,2009,4,False,62
149,5,3,Gowanus Canal,3.0,24195.999999999985,2012,0.8666666666666667,2008,3,False,73
150,5,3,Harlem River- Washington Bridge,1.0,26.539473734752416,2012,0.925,2008,4,False,31
151,5,3,Harlem River- Willis Ave. Bridge,1.0,25.871374552336047,2012,0.925,2008,4,False,32
152,5,3,Haverstraw Bay mid-channel,0.0,11.678262583529222,2012,0.775,2007,4,True,16
153,5,3,Hudson Landing Ramp,1.0,32.57657509410474,2012,0.675,2009,4,False,54
154,5,3,Hudson River above Troy Lock,0.0,79.24625397347106,2012,0.7000000000000001,2009,3,True,17
155,5,3,Hudson above Mohawk River,0.0,18.17726097906222,2012,0.7000000000000001,2009,3,True,18
156,5,3,Inbocht Bay,1.0,24.36869528605916,2012,0.675,2009,4,False,55
157,5,3,Irvington Beach,1.0,34.64101615137755,2012,1.3,2011,2,False,20
158,5,3,Island Creek/Normans Kill,2.0,170.5783302075609,2012,0.7000000000000001,2009,3,False,69
159,5,3,Kingsland Pt. Park- Pocantico River,1.0,695.6435869035231,2012,1.3,2011,2,False,21
160,5,3,Kingston Point Beach,1.0,13.84871114525408,2012,0.6666666666666666,2008,3,False,59
161,5,3,Kingston STP Outfall,3.0,301.5262581263788,2012,0.875,2008,4,False,72
162,5,3,Little Stony Point,0.0,4.309776748395062,2012,1.0,2008,4,True,5
163,5,3,Malden Launch Ramp,1.0,29.103474980915664,2012,0.7333333333333334,2009,3,False,47
164,5,3,Marlboro Landing,0.0,7.999999999999998,2012,1.2,2011,2,True,2
165,5,3,Mohawk River at Waterford,1.0,103.12480550927506,2012,0.7000000000000001,2009,3,False,52
166,5,3,Newburgh Launch Ramp,1.0,51.92395195317588,2012,0.8333333333333334,2008,3,False,38
167,5,3,Newtown Creek- Dutch Kills,2.0,71.73103645409721,2012,0.9,2007,5,False,64
168,5,3,Newtown Creek- Metropolitan Ave. Bridge,4.0,374.66484194326273,2012,0.9,2007,5,False,74
169,5,3,Norrie Point Yacht Basin,1.0,77.98728699226616,2012,0.8333333333333334,2008,3,False,39
170,5,3,Norrie Point mid-channel,1.0,6.197154434741128,2012,0.8333333333333334,2008,3,False,40
171,5,3,North River STP at 145th,0.0,27.375166845296278,2012,0.925,2008,4,True,10
172,5,3,Nyack Launch Ramp,1.0,81.42481194328917,2012,1.3,2011,2,False,22
173,5,3,Orangetown STP Outfall,4.0,173.15057260188104,2012,0.86,2007,5,False,75
174,5,3,Ossining Beach,2.0,195.158944285932,2012,0.775,2007,4,False,67
175,5,3,Peekskill Riverfront Green Park,1.0,80.31903183418768,2012,0.85,2007,4,False,37
176,5,3,Pier 96 Kayak Launch,1.0,30.055401898009904,2012,0.925,2008,4,False,33
177,5,3,Piermont Pier,1.0,23.740074671487505,2012,0.675,2007,8,False,56
178,5,3,Port Ewen Drinking Water Intake,1.0,14.783119226819611,2012,1.0250000000000001,2008,4,False,28
179,5,3,Poughkeepsie Drinking Water Intake,0.0,3.027400104035091,2012,1.0,2008,4,True,6
180,5,3,Poughkeepsie Launch Ramp,0.0,7.862224182626692,2012,0.8333333333333334,2008,3,True,15
181,5,3,Rondout- Eddyville Anchorage,2.0,184.67261291807367,2012,0.875,2008,4,False,65
182,5,3,Rondout- Kingston Public Dock,2.0,135.47494092773837,2012,0.875,2008,4,False,66
183,5,3,Saw Mill River,1.0,297.661974268938,2012,1.1333333333333333,2008,3,False,25
184,5,3,Stony Point mid-channel,0.0,17.80232298071974,2012,0.925,2008,4,True,11
185,5,3,TZ Bridge mid-channel,0.0,12.218856176937761,2012,0.8666666666666667,2007,6,True,13
186,5,3,Tarrytown Marina,1.0,866.0692812933611,2012,1.3,2011,2,False,23
187,5,3,The Battery mid-channel,0.0,24.957893743180684,2012,0.925,2008,4,True,12
188,5,3,Tivoli Landing,1.0,12.454769869555099,2012,0.6666666666666666,2008,3,False,60
189,5,3,Ulster Landing Beach,1.0,11.768719218995582,2012,0.6666666666666666,2008,3,False,61
190,5,3,Upper Sparkill Creek,2.0,339.13244796277934,2010,0.2333333333333333,2008,3,False,71
191,5,3,Wappingers Creek,1.0,53.63767332761554,2012,1.2,2011,2,False,24
192,5,3,West Point STP Outfall,1.0,14.325697513313386,2012,0.8333333333333334,2008,3,False,41
193,5,3,Yonkers STP Outfall,0.0,15.874010519681997,2012,1.1333333333333333,2008,3,True,4
194,5,3,Yonkers mid-channel,0.0,12.59921049894873,2012,1.1333333333333335,2008,3,True,3
195,5,4,125th St. Pier,0.0,19.323991755539193,2013,0.125,2007,4,True,31
196,5,4,79th St. mid-channel,0.0,5.477225575051663,2013,0.25,2007,2,True,5
197,5,4,Albany Rowing Dock,0.0,17.74823934929885,2010,0.1,2008,2,True,32
198,5,4,Annesville Creek,0.0,10.000000000000002,2013,0.2,2010,2,True,15
199,5,4,Athens,0.0,7.999999999999998,2010,0.0,2010,1,True,44
200,5,4,Beacon Harbor,0.0,6.999999999999999,2010,0.0,2010,1,True,45
201,5,4,Bethlehem Launch Ramp,0.0,8.06225774829855,2010,0.1,2008,2,True,33
202,5,4,"Castle Point, NJ",0.0,19.999999999999996,2013,0.5,2013,1,True,1
203,5,4,Castleton,0.0,1.0,2010,0.0,2010,1,True,46
204,5,4,Catskill Creek- East End,0.0,7.745966692414833,2010,0.1,2008,2,True,34
205,5,4,Catskill Creek- First Bridge,0.0,2.82842712474619,2010,0.1,2008,2,True,35
206,5,4,Catskill Launch Ramp,0.0,1.414213562373095,2010,0.1,2008,2,True,36
207,5,4,Cedar Pond Brook,0.0,10.000000000000002,2013,0.2,2010,2,True,16
208,5,4,Coeymans Landing,0.0,1.0,2010,0.1,2008,2,True,37
209,5,4,Cold Spring Harbor,0.0,12.0,2010,0.0,2010,1,True,47
210,5,4,Congress St. Bridge- Troy,0.0,25.92296279363144,2010,0.1,2008,2,True,38
211,5,4,Coxsackie Waterfront Park,0.0,18.999999999999996,2010,0.0,2010,1,True,48
212,5,4,Croton Point Beach,0.0,10.000000000000002,2013,0.2,2010,2,True,17
213,5,4,Dunn Memorial Bridge- Albany,1.0,177.08754896942926,2010,0.1,2008,2,False,72
214,5,4,Dyckman Street Beach,0.0,19.999999999999996,2013,0.5,2013,1,True,2
215,5,4,East River mid-channel at 23rd St.,0.0,7.071067811865476,2013,0.25,2007,2,True,6
216,5,4,East River mid-channel at Roosevelt Is.,0.0,6.32455532033676,2013,0.25,2007,2,True,7
217,5,4,Emeline Beach- Haverstraw,0.0,10.000000000000002,2013,0.2,2010,2,True,18
218,5,4,Esopus Creek Entrance,0.0,4.999999999999999,2010,0.0,2010,1,True,49
219,5,4,Esopus Creek West,0.0,23.0,2010,0.0,2010,1,True,50
220,5,4,Fort Montgomery,0.0,36.0,2010,0.0,2010,1,True,51
221,5,4,Furnace Brook,0.0,10.000000000000002,2013,0.2,2010,2,True,19
222,5,4,GW Bridge mid-channel,0.0,9.999999999999998,2013,0.25,2007,2,True,8
223,5,4,Gay's Point mid-channel,0.0,4.0,2010,0.0,2010,1,True,52
224,5,4,Gowanus Canal,1.0,257.0394949067907,2013,0.3333333333333333,2007,3,False,70
225,5,4,Harlem River- Washington Bridge,0.0,8.944271909999157,2013,0.25,2007,2,True,9
226,5,4,Harlem River- Willis Ave. Bridge,0.0,5.477225575051663,2013,0.25,2007,2,True,10
227,5,4,Haverstraw Bay mid-channel,0.0,10.000000000000002,2013,0.2,2010,2,True,20
228,5,4,Hudson Landing Ramp,0.0,5.656854249492379,2010,0.1,2008,2,True,39
229,5,4,Hudson River above Troy Lock,0.0,31.93743884534262,2010,0.1,2008,2,True,40
230,5,4,Hudson above Mohawk River,0.0,3.464101615137755,2010,0.1,2008,2,True,41
231,5,4,Inbocht Bay,0.0,4.123105625617661,2010,0.1,2008,2,True,42
232,5,4,Irvington Beach,0.0,19.999999999999996,2013,0.2,2010,2,True,21
233,5,4,Island Creek/Normans Kill,0.0,6.0,2010,0.0,2010,1,True,53
234,5,4,Kingsland Pt. Park- Pocantico River,0.0,10.000000000000002,2013,0.2,2010,2,True,22
235,5,4,Kingston Point Beach,0.0,1.7320508075688774,2012,0.0,2010,2,True,54
236,5,4,Kingston STP Outfall,0.0,98.99999999999999,2010,0.0,2010,1,True,55
237,5,4,Little Stony Point,0.0,4.0,2010,0.0,2010,1,True,56
238,5,4,Malden Launch Ramp,0.0,6.48074069840786,2010,0.1,2008,2,True,43
239,5,4,Marlboro Landing,0.0,4.999999999999999,2010,0.0,2010,1,True,57
240,5,4,Mohawk River at Waterford,1.0,76.48529270389179,2010,0.1,2008,2,False,73
241,5,4,Newburgh Launch Ramp,0.0,41.00000000000001,2010,0.0,2010,1,True,58
242,5,4,Newtown Creek- Dutch Kills,0.0,4.472135954999579,2013,0.25,2007,2,True,11
243,5,4,Newtown Creek- Metropolitan Ave. Bridge,1.0,35.07135583350036,2013,0.25,2007,2,False,71
244,5,4,Norrie Point Yacht Basin,0.0,9.000000000000002,2010,0.0,2010,1,True,59
245,5,4,Norrie Point mid-channel,0.0,1.0,2010,0.0,2010,1,True,60
246,5,4,North River STP at 145th,0.0,23.3452350598575,2013,0.25,2007,2,True,12
247,5,4,Nyack Launch Ramp,0.0,10.000000000000002,2013,0.2,2010,2,True,23
248,5,4,Orangetown STP Outfall,0.0,10.000000000000002,2013,0.2,2010,2,True,24
249,5,4,Ossining Beach,0.0,10.000000000000002,2013,0.2,2010,2,True,25
250,5,4,Peekskill Riverfront Green Park,0.0,10.000000000000002,2013,0.2,2010,2,True,26
251,5,4,Pier 96 Kayak Launch,0.0,31.0,2013,0.5,2013,1,True,3
252,5,4,Piermont Pier,0.0,16.51889612714844,2013,0.22000000000000003,2008,5,True,14
253,5,4,Port Ewen Drinking Water Intake,0.0,1.0,2010,0.0,2010,1,True,61
254,5,4,Poughkeepsie Drinking Water Intake,0.0,1.0,2010,0.0,2010,1,True,62
255,5,4,Poughkeepsie Launch Ramp,0.0,4.0,2010,0.0,2010,1,True,63
256,5,4,Rondout- Eddyville Anchorage,0.0,7.211102550927979,2012,0.0,2010,2,True,64
257,5,4,Rondout- Kingston Public Dock,0.0,19.999999999999996,2010,0.0,2010,1,True,65
258,5,4,Saw Mill River,2.0,82.9384069095746,2013,0.16666666666666666,2007,3,False,75
259,5,4,Stony Point mid-channel,0.0,10.000000000000002,2013,0.2,2010,2,True,27
260,5,4,TZ Bridge mid-channel,0.0,17.32050807568877,2013,0.2,2010,2,True,28
261,5,4,Tarrytown Marina,0.0,19.999999999999996,2013,0.4,2013,1,True,4
262,5,4,The Battery mid-channel,0.0,3.1622776601683795,2013,0.25,2007,2,True,13
263,5,4,Tivoli Landing,0.0,3.0000000000000004,2010,0.0,2010,1,True,66
264,5,4,Ulster Landing Beach,0.0,1.0,2010,0.0,2010,1,True,67
265,5,4,Upper Sparkill Creek,2.0,200.5780609513356,2010,0.2333333333333333,2008,3,False,74
266,5,4,Wappingers Creek,0.0,1.0,2010,0.0,2010,1,True,68
267,5,4,West Point STP Outfall,0.0,1.0,2010,0.0,2010,1,True,69
268,5,4,Yonkers STP Outfall,0.0,17.008069986292764,2013,0.16666666666666666,2007,3,True,29
269,5,4,Yonkers mid-channel,0.0,6.694329500821697,2013,0.16666666666666666,2007,3,True,30
270,6,1,125th St. Pier,2.0,64.01988808400081,2009,1.9875,2007,8,False,63
271,6,1,79th St. mid-channel,0.0,19.999999999999996,2009,1.9,2009,1,True,4
272,6,1,Albany Rowing Dock,1.0,1300.0,2013,1.2,2013,1,False,48
273,6,1,Athens,0.0,36.99999999999999,2013,1.2,2013,1,True,20
274,6,1,Beacon Harbor,0.0,3.0000000000000004,2013,0.0,2013,1,True,31
275,6,1,Bethlehem Launch Ramp,1.0,2419.999999999999,2013,1.2,2013,1,False,49
276,6,1,"Castle Point, NJ",1.0,121.00000000000003,2009,1.9,2009,1,False,47
277,6,1,Castleton,1.0,1732.9999999999995,2013,1.2,2013,1,False,50
278,6,1,Catskill Creek- East End,0.0,10.000000000000002,2013,1.2,2013,1,True,21
279,6,1,Catskill Creek- First Bridge,0.0,10.000000000000002,2013,1.2,2013,1,True,22
280,6,1,Catskill Launch Ramp,0.0,33.0,2013,1.2,2013,1,True,23
281,6,1,Coeymans Landing,1.0,1986.0000000000007,2013,1.2,2013,1,False,51
282,6,1,Cold Spring Harbor,0.0,4.0,2013,0.0,2013,1,True,32
283,6,1,Congress St. Bridge- Troy,1.0,1300.0,2013,1.2,2013,1,False,52
284,6,1,Coxsackie Waterfront Park,0.0,88.99999999999999,2013,1.2,2013,1,True,24
285,6,1,Dunn Memorial Bridge- Albany,1.0,1552.9999999999998,2013,1.2,2013,1,False,53
286,6,1,Dyckman Street Beach,0.0,19.999999999999996,2009,1.9,2009,1,True,5
287,6,1,East River mid-channel at 23rd St.,0.0,17.606816861659013,2010,1.0,2009,2,True,28
288,6,1,East River mid-channel at Roosevelt Is.,0.0,10.000000000000002,2009,2.0,2009,1,True,1
289,6,1,Esopus Creek Entrance,0.0,11.000000000000002,2013,1.3,2013,1,True,16
290,6,1,Esopus Creek West,0.0,88.99999999999999,2013,1.3,2013,1,True,17
291,6,1,Fort Montgomery,0.0,9.000000000000002,2013,0.0,2013,1,True,33
292,6,1,GW Bridge mid-channel,0.0,10.000000000000002,2009,1.9,2009,1,True,6
293,6,1,Gay's Point mid-channel,1.0,345.00000000000017,2013,1.2,2013,1,False,54
294,6,1,Harlem River- Washington Bridge,0.0,85.99999999999997,2009,2.0,2009,1,True,2
295,6,1,Harlem River- Willis Ave. Bridge,1.0,511.99999999999994,2009,2.0,2009,1,False,46
296,6,1,Hudson Landing Ramp,0.0,74.99999999999997,2013,1.2,2013,1,True,25
297,6,1,Hudson River above Troy Lock,1.0,979.9999999999998,2013,1.2,2013,1,False,55
298,6,1,Hudson above Mohawk River,1.0,238.00000000000009,2013,1.2,2013,1,False,56
299,6,1,Inbocht Bay,0.0,32.0,2013,1.2,2013,1,True,26
300,6,1,Irvington Beach,0.0,10.000000000000002,2009,1.6,2009,1,True,12
