"","X","Date","Primary.Type","Description","Location","Arrest","Domestic","Community.Area","Year","Latitude","Longitude"
"4035659",4035659,"12/10/2002 12:30:00 PM","ROBBERY","ARMED: OTHER DANGEROUS WEAPON","(41.886755667, -87.765095923)","false","false",25,2002,41.886755667,-87.765095923
"5280665",5280665,"03/07/2006 10:01:29 PM","OTHER OFFENSE","VEHICLE TITLE/REG OFFENSE","(41.810897133, -87.684510231)","true","false",58,2006,41.8109,-87.68451
"3935779",3935779,"09/01/2002 12:05:00 AM","THEFT","$500 AND UNDER","(41.788283783, -87.622302945)","false","false",40,2002,41.788283783,-87.622302945
"3135073",3135073,"12/18/2012 09:22:00 AM","ROBBERY","STRONGARM - NO WEAPON","(41.881949766, -87.647367397)","true","false",28,2012,41.881949766,-87.647367397
"204844",204844,"01/13/2016 04:55:00 PM","THEFT","$500 AND UNDER","(41.875460231, -87.710059786)","false","true",27,2016,41.875460231,-87.710059786
"2373048",2373048,"02/25/2010 02:20:00 PM","BATTERY","AGGRAVATED:KNIFE/CUTTING INSTR","(41.88489739, -87.766676821)","true","false",25,2010,41.88489739,-87.766676821
"3514428",3514428,"05/29/2014 11:17:00 PM","THEFT","$500 AND UNDER","(41.903890702, -87.632045722)","false","false",8,2014,41.903890702,-87.632045722
"5942507",5942507,"02/23/2008 07:45:00 AM","CRIMINAL DAMAGE","TO VEHICLE","(41.875122029, -87.629220926)","false","false",32,2008,41.87512,-87.62922
"687156",687156,"02/24/2002 07:00:00 PM","THEFT","$500 AND UNDER","(41.887888334, -87.770524924)","false","false",NA,2002,41.887888334,-87.770524924
"789142",789142,"10/09/2002 09:00:00 PM","CRIMINAL DAMAGE","TO PROPERTY","(41.94553577, -87.687010188)","false","false",5,2002,41.94553577,-87.687010188
"6374266",6374266,"06/22/2009 01:50:00 AM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.852616229, -87.720617801)","false","true",29,2009,41.85262,-87.72062
"1334404",1334404,"03/31/2012 06:30:00 PM","NARCOTICS","POSS: HEROIN(WHITE)","(41.897283366, -87.74830845)","true","false",25,2012,41.897283366,-87.74830845
"282854",282854,"05/19/2016 06:00:00 PM","CRIMINAL DAMAGE","TO PROPERTY","(41.717980517, -87.570978202)","false","false",51,2016,41.717980517,-87.570978202
"4266618",4266618,"06/13/2003 01:00:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.87112325, -87.735145774)","false","false",26,2003,41.9,-87.7
"1385567",1385567,"05/26/2012 02:35:00 AM","CRIMINAL DAMAGE","TO PROPERTY","(41.800938808, -87.589121997)","true","false",41,2012,41.800938808,-87.589121997
"4051295",4051295,"12/18/2002 09:28:24 PM","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","(41.906507389, -87.639055705)","true","false",8,2002,41.906507389,-87.639055705
"3334448",3334448,"08/08/2013 01:45:00 PM","NARCOTICS","POSS: HEROIN(WHITE)","(41.87840127, -87.760495484)","true","false",25,2013,41.87840127,-87.760495484
"3804378",3804378,"05/04/2002 09:00:00 PM","THEFT","$500 AND UNDER","(41.944973964, -87.683740713)","true","false",5,2002,41.944973964,-87.683740713
"2444160",2444160,"11/09/2002 12:00:00 AM","MOTOR VEHICLE THEFT","AUTOMOBILE","","false","false",65,2002,NA,NA
